continent,airport,year,month,flight_count
Africa,OERK,2021,8,2152
Africa,OERK,2021,9,2363
Africa,OERK,2021,10,1439
Africa,OERK,2021,11,1981
Africa,OERK,2021,12,2025
Africa,FACT,2022,1,2114
Africa,FACT,2022,2,1915
Africa,FACT,2022,3,2148
Africa,FACT,2022,4,2206
Africa,FACT,2022,5,2132
Africa,FAOR,2022,1,1369
Africa,FAOR,2022,2,602
Africa,FAOR,2022,3,2180
Africa,FAOR,2022,4,3194
Africa,FAOR,2022,5,3772
Africa,LLBG,2022,1,2697
Africa,LLBG,2022,2,2550
Africa,LLBG,2022,3,4145
Africa,LLBG,2022,4,5448
Africa,LLBG,2022,5,5307
Africa,OBBI,2022,1,2100
Africa,OBBI,2022,2,1964
Africa,OBBI,2022,3,2472
Africa,OBBI,2022,4,2355
Africa,OBBI,2022,5,2892
Africa,OERK,2022,1,1792
Africa,OERK,2022,2,1939
Africa,OERK,2022,3,1815
Africa,OERK,2022,4,1904
Africa,OERK,2022,5,2588
Asia,OMDB,2019,1,16622
Asia,OMDB,2019,2,15519
Asia,OMDB,2019,3,16626
Asia,OMDB,2019,4,13419
Asia,OMDB,2019,5,11219
Asia,OMDB,2019,6,15754
Asia,OMDB,2019,7,16481
Asia,OMDB,2019,8,16500
Asia,OMDB,2019,9,15215
Asia,OMDB,2019,10,16294
Asia,OMDB,2019,11,15668
Asia,OMDB,2019,12,15991
Asia,RJTT,2019,1,6287
Asia,RJTT,2019,2,4756
Asia,RJTT,2019,3,4722
Asia,RJTT,2019,4,3554
Asia,RJTT,2019,5,3200
Asia,RJTT,2019,6,2945
Asia,RJTT,2019,7,5713
Asia,RJTT,2019,8,3699
Asia,RJTT,2019,9,6265
Asia,RJTT,2019,10,4260
Asia,RJTT,2019,11,4157
Asia,RJTT,2019,12,2327
Asia,VHHH,2019,1,7339
Asia,VHHH,2019,2,11535
Asia,VHHH,2019,3,8500
Asia,VHHH,2019,4,5591
Asia,VHHH,2019,5,9499
Asia,VHHH,2019,6,17026
Asia,VHHH,2019,7,17871
Asia,VHHH,2019,8,16359
Asia,VHHH,2019,9,15436
Asia,VHHH,2019,10,16919
Asia,VHHH,2019,11,16088
Asia,VHHH,2019,12,16276
Asia,VIDP,2019,1,18214
Asia,VIDP,2019,2,15706
Asia,VIDP,2019,3,16867
Asia,VIDP,2019,4,16102
Asia,VIDP,2019,5,17153
Asia,VIDP,2019,6,15402
Asia,VIDP,2019,7,15722
Asia,VIDP,2019,8,17977
Asia,VIDP,2019,9,15638
Asia,VIDP,2019,10,17522
Asia,VIDP,2019,11,17968
Asia,VIDP,2019,12,17747
Asia,ZGSZ,2019,1,752
Asia,ZGSZ,2019,2,1489
Asia,ZGSZ,2019,3,1676
Asia,ZGSZ,2019,4,4557
Asia,ZGSZ,2019,5,5232
Asia,ZGSZ,2019,6,8391
Asia,ZGSZ,2019,7,9319
Asia,ZGSZ,2019,8,12509
Asia,ZGSZ,2019,9,12543
Asia,ZGSZ,2019,10,13625
Asia,ZGSZ,2019,11,13549
Asia,ZGSZ,2019,12,12867
Asia,OMDB,2020,1,16049
Asia,OMDB,2020,2,12720
Asia,OMDB,2020,3,8830
Asia,OMDB,2020,4,1925
Asia,OMDB,2020,5,2945
Asia,OMDB,2020,6,3537
Asia,OMDB,2020,7,4746
Asia,OMDB,2020,8,5652
Asia,OMDB,2020,9,6214
Asia,OMDB,2020,10,7547
Asia,OMDB,2020,11,7496
Asia,OMDB,2020,12,8590
Asia,RJTT,2020,1,13579
Asia,RJTT,2020,2,11270
Asia,RJTT,2020,3,9952
Asia,RJTT,2020,4,4917
Asia,RJTT,2020,5,1928
Asia,RJTT,2020,6,3706
Asia,RJTT,2020,7,5407
Asia,RJTT,2020,8,8175
Asia,RJTT,2020,9,7601
Asia,RJTT,2020,10,8626
Asia,RJTT,2020,11,10343
Asia,RJTT,2020,12,10605
Asia,VHHH,2020,1,15811
Asia,VHHH,2020,2,9215
Asia,VHHH,2020,3,6237
Asia,VHHH,2020,4,4994
Asia,VHHH,2020,5,5914
Asia,VHHH,2020,6,5289
Asia,VHHH,2020,7,5016
Asia,VHHH,2020,8,5061
Asia,VHHH,2020,9,5390
Asia,VHHH,2020,10,5568
Asia,VHHH,2020,11,6361
