continent,airport,year,month,flight_count
Africa,OERK,2021,8,333
Africa,OERK,2021,9,172
Africa,OERK,2021,10,630
Africa,OERK,2021,11,676
Africa,OERK,2021,12,804
Africa,FACT,2022,1,1954
Africa,FACT,2022,2,1797
Africa,FACT,2022,3,1950
Africa,FACT,2022,4,2009
Africa,FACT,2022,5,1984
Africa,FAOR,2022,1,2273
Africa,FAOR,2022,2,2070
Africa,FAOR,2022,3,1343
Africa,FAOR,2022,4,2907
Africa,FAOR,2022,5,3363
Africa,LLBG,2022,1,2539
Africa,LLBG,2022,2,2646
Africa,LLBG,2022,3,4044
Africa,LLBG,2022,4,5470
Africa,LLBG,2022,5,5402
Africa,OBBI,2022,1,1083
Africa,OBBI,2022,2,1082
Africa,OBBI,2022,3,1260
Africa,OBBI,2022,4,1191
Africa,OBBI,2022,5,1466
Africa,OERK,2022,1,689
Africa,OERK,2022,2,491
Africa,OERK,2022,3,905
Africa,OERK,2022,4,599
Africa,OERK,2022,5,599
Asia,OMDB,2019,1,18121
Asia,OMDB,2019,2,15998
Asia,OMDB,2019,3,16589
Asia,OMDB,2019,4,13076
Asia,OMDB,2019,5,10622
Asia,OMDB,2019,6,15283
Asia,OMDB,2019,7,16171
Asia,OMDB,2019,8,16379
Asia,OMDB,2019,9,15016
Asia,OMDB,2019,10,16514
Asia,OMDB,2019,11,15996
Asia,OMDB,2019,12,15584
Asia,RJTT,2019,1,10505
Asia,RJTT,2019,2,8742
Asia,RJTT,2019,3,8754
Asia,RJTT,2019,4,8164
Asia,RJTT,2019,5,8487
Asia,RJTT,2019,6,6601
Asia,RJTT,2019,7,7829
Asia,RJTT,2019,8,7983
Asia,RJTT,2019,9,7280
Asia,RJTT,2019,10,6598
Asia,RJTT,2019,11,9534
Asia,RJTT,2019,12,6421
Asia,VHHH,2019,1,5586
Asia,VHHH,2019,2,9468
Asia,VHHH,2019,3,5021
Asia,VHHH,2019,4,4764
Asia,VHHH,2019,5,7728
Asia,VHHH,2019,6,15524
Asia,VHHH,2019,7,16531
Asia,VHHH,2019,8,15451
Asia,VHHH,2019,9,14340
Asia,VHHH,2019,10,15584
Asia,VHHH,2019,11,15057
Asia,VHHH,2019,12,14735
Asia,VIDP,2019,1,17493
Asia,VIDP,2019,2,15087
Asia,VIDP,2019,3,16069
Asia,VIDP,2019,4,15277
Asia,VIDP,2019,5,16300
Asia,VIDP,2019,6,14937
Asia,VIDP,2019,7,15227
Asia,VIDP,2019,8,17448
Asia,VIDP,2019,9,15013
Asia,VIDP,2019,10,16597
Asia,VIDP,2019,11,17646
Asia,VIDP,2019,12,17300
Asia,ZGSZ,2019,1,1
Asia,ZGSZ,2019,2,4
Asia,ZGSZ,2019,3,1212
Asia,ZGSZ,2019,4,5378
Asia,ZGSZ,2019,5,4746
Asia,ZGSZ,2019,6,10923
Asia,ZGSZ,2019,7,12573
Asia,ZGSZ,2019,8,12494
Asia,ZGSZ,2019,9,11395
Asia,ZGSZ,2019,10,12138
Asia,ZGSZ,2019,11,11977
Asia,ZGSZ,2019,12,10114
Asia,OMDB,2020,1,15374
Asia,OMDB,2020,2,12019
Asia,OMDB,2020,3,8421
Asia,OMDB,2020,4,1862
Asia,OMDB,2020,5,2771
Asia,OMDB,2020,6,3409
Asia,OMDB,2020,7,4496
Asia,OMDB,2020,8,5285
Asia,OMDB,2020,9,5728
Asia,OMDB,2020,10,6995
