period,origin_country,dest_country,flight_count
TP1,俄罗斯,加拿大,3
TP1,俄罗斯,瑞士,3280
TP1,俄罗斯,德国,16207
TP1,俄罗斯,西班牙,4920
TP1,俄罗斯,法国,5753
TP1,俄罗斯,北爱尔兰,4363
TP1,俄罗斯,印度,815
TP1,俄罗斯,意大利,9388
TP1,俄罗斯,日本,98
TP1,俄罗斯,荷兰,2630
TP1,俄罗斯,瑞典,1644
TP1,俄罗斯,美国,2023
TP1,瑞典,阿联酋,647
TP1,瑞典,澳大利亚,1
TP1,瑞典,巴西,5
TP1,瑞典,加拿大,7
TP1,瑞典,瑞士,2536
TP1,瑞典,德国,11083
TP1,瑞典,西班牙,4133
TP1,瑞典,法国,3114
TP1,瑞典,北爱尔兰,9397
TP1,瑞典,印度,152
TP1,瑞典,意大利,1942
TP1,瑞典,日本,2
TP1,瑞典,荷兰,3743
TP1,瑞典,俄罗斯,1455
TP1,瑞典,美国,1639
TP1,美国,阿联酋,4729
TP1,美国,澳大利亚,5840
TP1,美国,巴西,6777
TP1,美国,加拿大,120840
TP1,美国,瑞士,6116
TP1,美国,德国,20603
TP1,美国,西班牙,8259
TP1,美国,法国,14554
TP1,美国,北爱尔兰,44336
TP1,美国,印度,2006
TP1,美国,意大利,8036
TP1,美国,日本,3315
TP1,美国,荷兰,10702
TP1,美国,俄罗斯,1670
TP1,美国,瑞典,1591
TP2,阿联酋,澳大利亚,711
TP2,阿联酋,巴西,166
TP2,阿联酋,加拿大,156
TP2,阿联酋,瑞士,541
TP2,阿联酋,德国,1901
TP2,阿联酋,西班牙,464
TP2,阿联酋,法国,816
TP2,阿联酋,北爱尔兰,2264
TP2,阿联酋,印度,5315
TP2,阿联酋,意大利,629
TP2,阿联酋,日本,182
TP2,阿联酋,荷兰,680
TP2,阿联酋,新西兰,169
TP2,阿联酋,俄罗斯,1299
TP2,阿联酋,美国,1131
TP2,澳大利亚,阿联酋,1060
TP2,澳大利亚,巴西,11
TP2,澳大利亚,加拿大,258
TP2,澳大利亚,瑞士,5
TP2,澳大利亚,德国,37
TP2,澳大利亚,西班牙,9
TP2,澳大利亚,法国,28
TP2,澳大利亚,北爱尔兰,136
TP2,澳大利亚,印度,118
TP2,澳大利亚,意大利,11
TP2,澳大利亚,日本,240
TP2,澳大利亚,荷兰,7
TP2,澳大利亚,新西兰,5215
TP2,澳大利亚,俄罗斯,5
TP2,澳大利亚,美国,1569
TP2,巴西,阿联酋,157
TP2,巴西,澳大利亚,5
TP2,巴西,加拿大,148
TP2,巴西,瑞士,113
TP2,巴西,德国,297
TP2,巴西,西班牙,366
TP2,巴西,法国,358
TP2,巴西,北爱尔兰,311
TP2,巴西,印度,2
TP2,巴西,意大利,257
TP2,巴西,荷兰,221
TP2,巴西,美国,2434
TP2,加拿大,阿联酋,182
TP2,加拿大,澳大利亚,262
TP2,加拿大,巴西,137
TP2,加拿大,瑞士,282
TP2,加拿大,德国,879
TP2,加拿大,西班牙,111
TP2,加拿大,法国,773
TP2,加拿大,北爱尔兰,1502
TP2,加拿大,印度,252
TP2,加拿大,意大利,27
TP2,加拿大,日本,117
TP2,加拿大,荷兰,416
TP2,加拿大,新西兰,146
TP2,加拿大,俄罗斯,2
TP2,加拿大,美国,39865
TP2,瑞士,阿联酋,632
TP2,瑞士,巴西,141
TP2,瑞士,加拿大,299
TP2,瑞士,德国,7339
TP2,瑞士,西班牙,2829
TP2,瑞士,法国,2960
TP2,瑞士,北爱尔兰,8893
TP2,瑞士,印度,163
TP2,瑞士,意大利,2217
TP2,瑞士,日本,14
TP2,瑞士,荷兰,1517
TP2,瑞士,俄罗斯,879
TP2,瑞士,美国,1393
TP2,德国,阿联酋,1934
TP2,德国,澳大利亚,8
TP2,德国,巴西,403
TP2,德国,加拿大,946
TP2,德国,瑞士,7202
TP2,德国,西班牙,9023
TP2,德国,法国,6916
TP2,德国,北爱尔兰,13839
TP2,德国,印度,864
TP2,德国,意大利,9809
TP2,德国,日本,373
TP2,德国,荷兰,3946
TP2,德国,俄罗斯,3662
TP2,德国,美国,6600
TP2,西班牙,阿联酋,488
TP2,西班牙,巴西,382
TP2,西班牙,加拿大,113
TP2,西班牙,瑞士,2884
TP2,西班牙,德国,8919
TP2,西班牙,法国,5767
TP2,西班牙,北爱尔兰,10494
TP2,西班牙,印度,37
TP2,西班牙,意大利,5554
TP2,西班牙,日本,3
TP2,西班牙,荷兰,2595
TP2,西班牙,俄罗斯,852
TP2,西班牙,美国,1745
TP2,法国,阿联酋,801
TP2,法国,澳大利亚,2
TP2,法国,巴西,347
TP2,法国,加拿大,761
TP2,法国,瑞士,3145
TP2,法国,德国,6971
TP2,法国,西班牙,5843
TP2,法国,北爱尔兰,7909
TP2,法国,印度,507
TP2,法国,意大利,5942
TP2,法国,日本,312
TP2,法国,荷兰,1944
TP2,法国,俄罗斯,1093
TP2,法国,美国,3337
TP2,北爱尔兰,阿联酋,2419
TP2,北爱尔兰,澳大利亚,102
TP2,北爱尔兰,巴西,299
TP2,北爱尔兰,加拿大,1475
TP2,北爱尔兰,瑞士,8809
TP2,北爱尔兰,德国,13791
TP2,北爱尔兰,西班牙,9582
TP2,北爱尔兰,法国,7834
TP2,北爱尔兰,印度,1090
TP2,北爱尔兰,意大利,8408
TP2,北爱尔兰,日本,276
TP2,北爱尔兰,荷兰,7554
TP2,北爱尔兰,新西兰,1
TP2,北爱尔兰,俄罗斯,1122
TP2,北爱尔兰,美国,11173
TP2,印度,阿联酋,5410
TP2,印度,澳大利亚,125
TP2,印度,巴西,17
TP2,印度,加拿大,247
TP2,印度,瑞士,175
TP2,印度,德国,1094
TP2,印度,西班牙,42
TP2,印度,法国,377
TP2,印度,北爱尔兰,1245
TP2,印度,意大利,211
TP2,印度,日本,53
TP2,印度,荷兰,262
TP2,印度,新西兰,9
TP2,印度,俄罗斯,212
TP2,印度,美国,743
TP2,意大利,阿联酋,697
TP2,意大利,巴西,240
TP2,意大利,加拿大,25
TP2,意大利,瑞士,2020
TP2,意大利,德国,9693
TP2,意大利,西班牙,5411
TP2,意大利,法国,5505
TP2,意大利,北爱尔兰,8350
TP2,意大利,印度,163
TP2,意大利,日本,5
TP2,意大利,荷兰,1855
TP2,意大利,俄罗斯,2085
TP2,意大利,美国,1058
TP2,日本,阿联酋,131
TP2,日本,澳大利亚,343
TP2,日本,加拿大,94
TP2,日本,瑞士,11
TP2,日本,德国,285
TP2,日本,西班牙,2
TP2,日本,法国,183
TP2,日本,北爱尔兰,159
TP2,日本,印度,35
TP2,日本,意大利,6
TP2,日本,荷兰,146
TP2,日本,新西兰,40
TP2,日本,俄罗斯,23
TP2,日本,美国,1542
TP2,荷兰,阿联酋,909
TP2,荷兰,巴西,332
TP2,荷兰,加拿大,417
TP2,荷兰,瑞士,1658
TP2,荷兰,德国,4322
TP2,荷兰,西班牙,2877
TP2,荷兰,法国,2243
TP2,荷兰,北爱尔兰,8225
TP2,荷兰,印度,283
TP2,荷兰,意大利,2275
TP2,荷兰,日本,109
TP2,荷兰,俄罗斯,622
TP2,荷兰,美国,3270
TP2,新西兰,阿联酋,147
TP2,新西兰,澳大利亚,5257
TP2,新西兰,巴西,8
TP2,新西兰,加拿大,171
TP2,新西兰,德国,1
TP2,新西兰,西班牙,5
TP2,新西兰,北爱尔兰,5
TP2,新西兰,印度,10
TP2,新西兰,意大利,1
TP2,新西兰,日本,45
TP2,新西兰,美国,805
TP2,俄罗斯,阿联酋,1352
TP2,俄罗斯,巴西,3
TP2,俄罗斯,加拿大,4
TP2,俄罗斯,瑞士,954
TP2,俄罗斯,德国,4029
TP2,俄罗斯,西班牙,866
TP2,俄罗斯,法国,1204
TP2,俄罗斯,北爱尔兰,1308
TP2,俄罗斯,印度,227
TP2,俄罗斯,意大利,2157
TP2,俄罗斯,日本,13
TP2,俄罗斯,荷兰,668
TP2,俄罗斯,新西兰,1
TP2,俄罗斯,美国,525
TP2,美国,阿联酋,1385
TP2,美国,澳大利亚,1858
TP2,美国,巴西,2680
TP2,美国,加拿大,41022
TP2,美国,瑞士,1415
TP2,美国,德国,6907
TP2,美国,西班牙,1575
TP2,美国,法国,3321
TP2,美国,北爱尔兰,11652
TP2,美国,印度,779
TP2,美国,意大利,1049
TP2,美国,日本,1795
TP2,美国,荷兰,3537
TP2,美国,新西兰,789
TP2,美国,俄罗斯,505
TP3,澳大利亚,巴西,1
TP3,澳大利亚,加拿大,70
TP3,澳大利亚,瑞士,9
TP3,澳大利亚,德国,31
TP3,澳大利亚,西班牙,12
TP3,澳大利亚,法国,14
TP3,澳大利亚,北爱尔兰,129
TP3,澳大利亚,印度,172
TP3,澳大利亚,意大利,13
TP3,澳大利亚,日本,706
TP3,澳大利亚,荷兰,11
TP3,澳大利亚,新西兰,4793
TP3,澳大利亚,俄罗斯,1
TP3,澳大利亚,土耳其,5
TP3,澳大利亚,美国,2806
TP3,巴西,澳大利亚,2
