period,origin_country,dest_country,flight_count
TP4,土耳其,日本,72
TP4,土耳其,荷兰,1539
TP4,土耳其,波兰,365
TP4,土耳其,葡萄牙,300
TP4,土耳其,美国,1167
TP4,美国,澳大利亚,1510
TP4,美国,加拿大,46915
TP4,美国,瑞士,1959
TP4,美国,德国,8388
TP4,美国,西班牙,2854
TP4,美国,法国,5435
TP4,美国,北爱尔兰,14117
TP4,美国,印度,1013
TP4,美国,意大利,2442
TP4,美国,日本,2756
TP4,美国,荷兰,3929
TP4,美国,新西兰,311
TP4,美国,波兰,515
TP4,美国,葡萄牙,1300
TP4,美国,土耳其,1526
